sample_id,source_dataset,cve_id,project,cwe_id,vulnerability_type,benchmark_relpath,preferred_analyzer,run_generate,run_refine,run_backend_compare,selection_reason,quality_notes
vul4c_cwe119_imagemagick_cve20169556,vul4c,CVE-2016-9556,imagemagick,CWE-119,buffer overflow,imagemagick/CVE-2016-9556,csa,true,true,true,单文件单hunk，边界约束补丁清晰,候选主样本
vul4c_cwe119_libming_cve20169827,vul4c,CVE-2016-9827,libming,CWE-119,buffer overflow,libming/CVE-2016-9827,csa,true,false,false,单文件小补丁，越界保护语义集中,候选主样本
vul4c_cwe119_libxml2_cve20125134,vul4c,CVE-2012-5134,libxml2,CWE-119,buffer overflow,libxml2/CVE-2012-5134,csa,true,false,false,补丁规模小，适合做生成评估,候选主样本
vul4c_cwe120_jhead_cve202028840,vul4c,CVE-2020-28840,jhead,CWE-120,classic buffer overflow,jhead/CVE-2020-28840,csa,true,true,true,经典缓冲区拷贝边界修复，语义直接,待补第三个同类样本
vul4c_cwe120_gilcc_cve202021572,vul4c,CVE-2020-21572,gilcc,CWE-120,classic buffer overflow,gilcc/CVE-2020-21572,csa,true,true,true,单文件边界检查补丁，可做同类对照,待补第三个同类样本
vul4c_cwe125_binutils_cve201715021,vul4c,CVE-2017-15021,binutils,CWE-125,out-of-bounds read,binutils/CVE-2017-15021,csa,true,false,false,越界读修复小且明确,候选主样本
vul4c_cwe125_elfutils_cve20177607,vul4c,CVE-2017-7607,elfutils,CWE-125,out-of-bounds read,elfutils/CVE-2017-7607,csa,true,true,true,读取边界判断补丁简单清晰,候选精炼样本
vul4c_cwe125_graphicsmagick_cve201712937,vul4c,CVE-2017-12937,graphicsmagick,CWE-125,out-of-bounds read,graphicsmagick/CVE-2017-12937,csa,true,false,false,颜色表索引校验补丁极小且语义直接,候选补位样本
vul4c_cwe125_libdwarf_cve20169558,vul4c,CVE-2016-9558,libdwarf,CWE-125,out-of-bounds read,libdwarf/CVE-2016-9558,csa,true,true,true,单hunk补丁，便于分析越界读机制,候选精炼样本
vul4c_cwe190_binutils_cve201714745,vul4c,CVE-2017-14745,binutils,CWE-190,integer overflow or wraparound,binutils/CVE-2017-14745,codeql,true,true,true,整数边界补丁精简，适合后端对比,候选精炼样本
vul4c_cwe190_libarchive_cve20165844,vul4c,CVE-2016-5844,libarchive,CWE-190,integer overflow or wraparound,libarchive/CVE-2016-5844,codeql,true,true,true,整数运算溢出检查具有代表性,候选精炼样本
vul4c_cwe190_jasper_cve20169387,vul4c,CVE-2016-9387,jasper,CWE-190,integer overflow or wraparound,jasper/CVE-2016-9387,codeql,true,false,false,多行补丁但机制集中在整数范围控制,候选主样本
vul4c_cwe369_binutils_cve201715025,vul4c,CVE-2017-15025,binutils,CWE-369,divide by zero,binutils/CVE-2017-15025,csa,true,false,false,除零保护补丁小，触发条件明确,候选主样本
vul4c_cwe369_libming_cve20169265,vul4c,CVE-2016-9265,libming,CWE-369,divide by zero,libming/CVE-2016-9265,csa,true,true,true,修复通过显式分母检查完成，语义清晰,候选精炼样本
vul4c_cwe369_libtiff_cve20177595,vul4c,CVE-2017-7595,libtiff,CWE-369,divide by zero,libtiff/CVE-2017-7595,csa,true,true,true,经典除零保护案例，补丁直接体现guard,候选精炼样本
