dataset,rank,case_id,commit_id,bug_type,candidate_group,checker_id,tp,tn,report_count,manual_bugs,manual_not_bugs,case_dir,refinement_input,standard_patch,knighter_patch,checker_source
E2-extended,1,01_ac19c4c3d02e_Misuse,ac19c4c3d02e19b365209d2cee409671e1fb66bb,Misuse,local_triage_manual_fp,old:ac19c4c3d02e19b365209d2cee409671e1fb66bb:checker0,1,1,55,20,17,research/knighter/e2/cases/01_ac19c4c3d02e_Misuse,research/knighter/e2/cases/01_ac19c4c3d02e_Misuse/refinement_input.json,research/knighter/e2/cases/01_ac19c4c3d02e_Misuse/patches/commit.patch,research/knighter/e2/cases/01_ac19c4c3d02e_Misuse/patches/knighter_patch.md,research/knighter/e2/cases/01_ac19c4c3d02e_Misuse/csa/SAGenTestChecker.cpp
E2-extended,2,02_3027e7b15b02_Null_Pointer_Dereference,3027e7b15b02d2d37e3f82d6b8404f6d37e3b8cf,Null-Pointer-Dereference,local_triage_manual_fp,old:3027e7b15b02d2d37e3f82d6b8404f6d37e3b8cf:checker2,1,1,75,17,12,research/knighter/e2/cases/02_3027e7b15b02_Null_Pointer_Dereference,research/knighter/e2/cases/02_3027e7b15b02_Null_Pointer_Dereference/refinement_input.json,research/knighter/e2/cases/02_3027e7b15b02_Null_Pointer_Dereference/patches/commit.patch,research/knighter/e2/cases/02_3027e7b15b02_Null_Pointer_Dereference/patches/knighter_patch.md,research/knighter/e2/cases/02_3027e7b15b02_Null_Pointer_Dereference/csa/SAGenTestChecker.cpp
E2-extended,3,03_1f886a7bfb3f_Null_Pointer_Dereference,1f886a7bfb3faf4c1021e73f045538008ce7634e,Null-Pointer-Dereference,local_triage_manual_fp,old:1f886a7bfb3faf4c1021e73f045538008ce7634e:checker0,1,1,67,4,12,research/knighter/e2/cases/03_1f886a7bfb3f_Null_Pointer_Dereference,research/knighter/e2/cases/03_1f886a7bfb3f_Null_Pointer_Dereference/refinement_input.json,research/knighter/e2/cases/03_1f886a7bfb3f_Null_Pointer_Dereference/patches/commit.patch,research/knighter/e2/cases/03_1f886a7bfb3f_Null_Pointer_Dereference/patches/knighter_patch.md,research/knighter/e2/cases/03_1f886a7bfb3f_Null_Pointer_Dereference/csa/SAGenTestChecker.cpp
E2-extended,4,04_a54a594d72f2_Null_Pointer_Dereference,a54a594d72f25b08f39d743880a76721fba9ae77,Null-Pointer-Dereference,local_triage_manual_fp,old:a54a594d72f25b08f39d743880a76721fba9ae77:checker0,1,1,27,1,11,research/knighter/e2/cases/04_a54a594d72f2_Null_Pointer_Dereference,research/knighter/e2/cases/04_a54a594d72f2_Null_Pointer_Dereference/refinement_input.json,research/knighter/e2/cases/04_a54a594d72f2_Null_Pointer_Dereference/patches/commit.patch,research/knighter/e2/cases/04_a54a594d72f2_Null_Pointer_Dereference/patches/knighter_patch.md,research/knighter/e2/cases/04_a54a594d72f2_Null_Pointer_Dereference/csa/SAGenTestChecker.cpp
E2-extended,5,05_c48a4497356f_Uninit_Data,c48a4497356f701f94f1951626637ae240af909e,Uninit-Data,local_triage_manual_fp,old:c48a4497356f701f94f1951626637ae240af909e:checker7,1,1,5,1,1,research/knighter/e2/cases/05_c48a4497356f_Uninit_Data,research/knighter/e2/cases/05_c48a4497356f_Uninit_Data/refinement_input.json,research/knighter/e2/cases/05_c48a4497356f_Uninit_Data/patches/commit.patch,research/knighter/e2/cases/05_c48a4497356f_Uninit_Data/patches/knighter_patch.md,research/knighter/e2/cases/05_c48a4497356f_Uninit_Data/csa/SAGenTestChecker.cpp
E2-extended,6,06_8ede3db5061b_Integer_Overflow,8ede3db5061bb1fe28e2c9683329aafa89d2b1b4,Integer-Overflow,local_triage_manual_fp,old:8ede3db5061bb1fe28e2c9683329aafa89d2b1b4:checker2,1,1,2,1,1,research/knighter/e2/cases/06_8ede3db5061b_Integer_Overflow,research/knighter/e2/cases/06_8ede3db5061b_Integer_Overflow/refinement_input.json,research/knighter/e2/cases/06_8ede3db5061b_Integer_Overflow/patches/commit.patch,research/knighter/e2/cases/06_8ede3db5061b_Integer_Overflow/patches/knighter_patch.md,research/knighter/e2/cases/06_8ede3db5061b_Integer_Overflow/csa/SAGenTestChecker.cpp
E2-extended,7,07_5aa2184e2908_Double_Free,5aa2184e29081665f915594bc6de9b7fee6e4883,Double-Free,positive_scan_report_count,old:5aa2184e29081665f915594bc6de9b7fee6e4883:checker0,1,1,2644,0,0,research/knighter/e2/cases/07_5aa2184e2908_Double_Free,research/knighter/e2/cases/07_5aa2184e2908_Double_Free/refinement_input.json,research/knighter/e2/cases/07_5aa2184e2908_Double_Free/patches/commit.patch,research/knighter/e2/cases/07_5aa2184e2908_Double_Free/patches/knighter_patch.md,research/knighter/e2/cases/07_5aa2184e2908_Double_Free/csa/SAGenTestChecker.cpp
E2-extended,8,08_768f17fd25e4_Integer_Overflow,768f17fd25e4a98bf5166148629ecf6f647d5efc,Integer-Overflow,positive_scan_report_count,old:768f17fd25e4a98bf5166148629ecf6f647d5efc:checker1,1,1,1729,0,0,research/knighter/e2/cases/08_768f17fd25e4_Integer_Overflow,research/knighter/e2/cases/08_768f17fd25e4_Integer_Overflow/refinement_input.json,research/knighter/e2/cases/08_768f17fd25e4_Integer_Overflow/patches/commit.patch,research/knighter/e2/cases/08_768f17fd25e4_Integer_Overflow/patches/knighter_patch.md,research/knighter/e2/cases/08_768f17fd25e4_Integer_Overflow/csa/SAGenTestChecker.cpp
E2-extended,9,09_df94cb2e57b2_Integer_Overflow,df94cb2e57b2cc539f325003e7abb76d3060d55b,Integer-Overflow,positive_scan_report_count,old:df94cb2e57b2cc539f325003e7abb76d3060d55b:checker7,2,1,120,0,0,research/knighter/e2/cases/09_df94cb2e57b2_Integer_Overflow,research/knighter/e2/cases/09_df94cb2e57b2_Integer_Overflow/refinement_input.json,research/knighter/e2/cases/09_df94cb2e57b2_Integer_Overflow/patches/commit.patch,research/knighter/e2/cases/09_df94cb2e57b2_Integer_Overflow/patches/knighter_patch.md,research/knighter/e2/cases/09_df94cb2e57b2_Integer_Overflow/csa/SAGenTestChecker.cpp
E2-extended,10,10_f503ae90c735_Null_Pointer_Dereference,f503ae90c7355e8506e68498fe84c1357894cd5b,Null-Pointer-Dereference,positive_scan_report_count,old:f503ae90c7355e8506e68498fe84c1357894cd5b:checker0,1,1,14,4,0,research/knighter/e2/cases/10_f503ae90c735_Null_Pointer_Dereference,research/knighter/e2/cases/10_f503ae90c735_Null_Pointer_Dereference/refinement_input.json,research/knighter/e2/cases/10_f503ae90c735_Null_Pointer_Dereference/patches/commit.patch,research/knighter/e2/cases/10_f503ae90c735_Null_Pointer_Dereference/patches/knighter_patch.md,research/knighter/e2/cases/10_f503ae90c735_Null_Pointer_Dereference/csa/SAGenTestChecker.cpp
E2-extended,11,11_5e700b384ec1_Concurrency,5e700b384ec13f5bcac9855cb28fcc674f1d3593,Concurrency,positive_scan_report_count,old:5e700b384ec13f5bcac9855cb28fcc674f1d3593:checker0,1,1,10,0,0,research/knighter/e2/cases/11_5e700b384ec1_Concurrency,research/knighter/e2/cases/11_5e700b384ec1_Concurrency/refinement_input.json,research/knighter/e2/cases/11_5e700b384ec1_Concurrency/patches/commit.patch,research/knighter/e2/cases/11_5e700b384ec1_Concurrency/patches/knighter_patch.md,research/knighter/e2/cases/11_5e700b384ec1_Concurrency/csa/SAGenTestChecker.cpp
E2-extended,12,12_c09d2eff81a9_Integer_Overflow,c09d2eff81a997c169e0cacacd6b60c5e3aa33f2,Integer-Overflow,positive_scan_report_count,old:c09d2eff81a997c169e0cacacd6b60c5e3aa33f2:checker4,1,1,10,0,0,research/knighter/e2/cases/12_c09d2eff81a9_Integer_Overflow,research/knighter/e2/cases/12_c09d2eff81a9_Integer_Overflow/refinement_input.json,research/knighter/e2/cases/12_c09d2eff81a9_Integer_Overflow/patches/commit.patch,research/knighter/e2/cases/12_c09d2eff81a9_Integer_Overflow/patches/knighter_patch.md,research/knighter/e2/cases/12_c09d2eff81a9_Integer_Overflow/csa/SAGenTestChecker.cpp
E2-extended,13,13_0f8ca019544a_Buffer_Overflow,0f8ca019544a252d1afb468ce840c6dcbac73af4,Buffer-Overflow,positive_scan_report_count,old:0f8ca019544a252d1afb468ce840c6dcbac73af4:checker0,1,1,6,1,0,research/knighter/e2/cases/13_0f8ca019544a_Buffer_Overflow,research/knighter/e2/cases/13_0f8ca019544a_Buffer_Overflow/refinement_input.json,research/knighter/e2/cases/13_0f8ca019544a_Buffer_Overflow/patches/commit.patch,research/knighter/e2/cases/13_0f8ca019544a_Buffer_Overflow/patches/knighter_patch.md,research/knighter/e2/cases/13_0f8ca019544a_Buffer_Overflow/csa/SAGenTestChecker.cpp
E2-extended,14,14_c3d749609472_Out_of_Bound,c3d749609472ba0b217b42ab66f80459847e2bcb,Out-of-Bound,positive_scan_report_count,old:c3d749609472ba0b217b42ab66f80459847e2bcb:checker1,2,1,6,1,0,research/knighter/e2/cases/14_c3d749609472_Out_of_Bound,research/knighter/e2/cases/14_c3d749609472_Out_of_Bound/refinement_input.json,research/knighter/e2/cases/14_c3d749609472_Out_of_Bound/patches/commit.patch,research/knighter/e2/cases/14_c3d749609472_Out_of_Bound/patches/knighter_patch.md,research/knighter/e2/cases/14_c3d749609472_Out_of_Bound/csa/SAGenTestChecker.cpp
E2-extended,15,15_f1e54d11b210_UAF,f1e54d11b210b53d418ff1476c6b58a2f434dfc0,UAF,positive_scan_report_count,old:f1e54d11b210b53d418ff1476c6b58a2f434dfc0:checker0,1,1,5,4,0,research/knighter/e2/cases/15_f1e54d11b210_UAF,research/knighter/e2/cases/15_f1e54d11b210_UAF/refinement_input.json,research/knighter/e2/cases/15_f1e54d11b210_UAF/patches/commit.patch,research/knighter/e2/cases/15_f1e54d11b210_UAF/patches/knighter_patch.md,research/knighter/e2/cases/15_f1e54d11b210_UAF/csa/SAGenTestChecker.cpp
E2-extended,16,16_b1ba8bcb2d1f_Null_Pointer_Dereference,b1ba8bcb2d1ffce11b308ce166c9cc28d989e3b9,Null-Pointer-Dereference,positive_scan_report_count,old:b1ba8bcb2d1ffce11b308ce166c9cc28d989e3b9:checker2,1,1,4,2,0,research/knighter/e2/cases/16_b1ba8bcb2d1f_Null_Pointer_Dereference,research/knighter/e2/cases/16_b1ba8bcb2d1f_Null_Pointer_Dereference/refinement_input.json,research/knighter/e2/cases/16_b1ba8bcb2d1f_Null_Pointer_Dereference/patches/commit.patch,research/knighter/e2/cases/16_b1ba8bcb2d1f_Null_Pointer_Dereference/patches/knighter_patch.md,research/knighter/e2/cases/16_b1ba8bcb2d1f_Null_Pointer_Dereference/csa/SAGenTestChecker.cpp
E2-extended,17,17_90ca6956d383_Uninit_Data,90ca6956d3834db4060f87700e2fcbb699c4e4fd,Uninit-Data,positive_scan_report_count,old:90ca6956d3834db4060f87700e2fcbb699c4e4fd:checker3,2,2,4,11,0,research/knighter/e2/cases/17_90ca6956d383_Uninit_Data,research/knighter/e2/cases/17_90ca6956d383_Uninit_Data/refinement_input.json,research/knighter/e2/cases/17_90ca6956d383_Uninit_Data/patches/commit.patch,research/knighter/e2/cases/17_90ca6956d383_Uninit_Data/patches/knighter_patch.md,research/knighter/e2/cases/17_90ca6956d383_Uninit_Data/csa/SAGenTestChecker.cpp
E2-extended,18,18_ad297cd2db89_UAF,ad297cd2db8953e2202970e9504cab247b6c7cb4,UAF,positive_scan_report_count,old:ad297cd2db8953e2202970e9504cab247b6c7cb4:checker0,1,1,3,1,0,research/knighter/e2/cases/18_ad297cd2db89_UAF,research/knighter/e2/cases/18_ad297cd2db89_UAF/refinement_input.json,research/knighter/e2/cases/18_ad297cd2db89_UAF/patches/commit.patch,research/knighter/e2/cases/18_ad297cd2db89_UAF/patches/knighter_patch.md,research/knighter/e2/cases/18_ad297cd2db89_UAF/csa/SAGenTestChecker.cpp
E2-extended,19,19_39b13dce1a91_Double_Free,39b13dce1a91cdfc3bec9238f9e89094551bd428,Double-Free,positive_scan_report_count,old:39b13dce1a91cdfc3bec9238f9e89094551bd428:checker0,1,1,1,1,0,research/knighter/e2/cases/19_39b13dce1a91_Double_Free,research/knighter/e2/cases/19_39b13dce1a91_Double_Free/refinement_input.json,research/knighter/e2/cases/19_39b13dce1a91_Double_Free/patches/commit.patch,research/knighter/e2/cases/19_39b13dce1a91_Double_Free/patches/knighter_patch.md,research/knighter/e2/cases/19_39b13dce1a91_Double_Free/csa/SAGenTestChecker.cpp
E2-extended,20,20_d8c561741ef8_Double_Free,d8c561741ef83980114b3f7f95ffac54600f3f16,Double-Free,positive_scan_report_count,old:d8c561741ef83980114b3f7f95ffac54600f3f16:checker2,1,1,1,1,0,research/knighter/e2/cases/20_d8c561741ef8_Double_Free,research/knighter/e2/cases/20_d8c561741ef8_Double_Free/refinement_input.json,research/knighter/e2/cases/20_d8c561741ef8_Double_Free/patches/commit.patch,research/knighter/e2/cases/20_d8c561741ef8_Double_Free/patches/knighter_patch.md,research/knighter/e2/cases/20_d8c561741ef8_Double_Free/csa/SAGenTestChecker.cpp
E2-extended,21,21_3e91a38de1dc_Misuse,3e91a38de1dce97b385d732a5f444264ea8fbd92,Misuse,positive_scan_report_count,old:3e91a38de1dce97b385d732a5f444264ea8fbd92:checker2,1,1,1,1,0,research/knighter/e2/cases/21_3e91a38de1dc_Misuse,research/knighter/e2/cases/21_3e91a38de1dc_Misuse/refinement_input.json,research/knighter/e2/cases/21_3e91a38de1dc_Misuse/patches/commit.patch,research/knighter/e2/cases/21_3e91a38de1dc_Misuse/patches/knighter_patch.md,research/knighter/e2/cases/21_3e91a38de1dc_Misuse/csa/SAGenTestChecker.cpp
E2-extended,22,22_e651faa2fba4_Misuse,e651faa2fba4d387aa00b3c02e9c10232852d2ef,Misuse,positive_scan_report_count,old:e651faa2fba4d387aa00b3c02e9c10232852d2ef:checker0,1,2,1,1,0,research/knighter/e2/cases/22_e651faa2fba4_Misuse,research/knighter/e2/cases/22_e651faa2fba4_Misuse/refinement_input.json,research/knighter/e2/cases/22_e651faa2fba4_Misuse/patches/commit.patch,research/knighter/e2/cases/22_e651faa2fba4_Misuse/patches/knighter_patch.md,research/knighter/e2/cases/22_e651faa2fba4_Misuse/csa/SAGenTestChecker.cpp
E2-extended,23,23_13e788deb734_Out_of_Bound,13e788deb7348cc88df34bed736c3b3b9927ea52,Out-of-Bound,positive_scan_report_count,old:13e788deb7348cc88df34bed736c3b3b9927ea52:checker0,1,1,1,1,0,research/knighter/e2/cases/23_13e788deb734_Out_of_Bound,research/knighter/e2/cases/23_13e788deb734_Out_of_Bound/refinement_input.json,research/knighter/e2/cases/23_13e788deb734_Out_of_Bound/patches/commit.patch,research/knighter/e2/cases/23_13e788deb734_Out_of_Bound/patches/knighter_patch.md,research/knighter/e2/cases/23_13e788deb734_Out_of_Bound/csa/SAGenTestChecker.cpp
E2-extended,24,24_97cba232549b_Buffer_Overflow,97cba232549b9fe7e491fb60a69cf93075015f29,Buffer-Overflow,valid_no_local_report,old:97cba232549b9fe7e491fb60a69cf93075015f29:checker6,1,1,0,0,0,research/knighter/e2/cases/24_97cba232549b_Buffer_Overflow,research/knighter/e2/cases/24_97cba232549b_Buffer_Overflow/refinement_input.json,research/knighter/e2/cases/24_97cba232549b_Buffer_Overflow/patches/commit.patch,research/knighter/e2/cases/24_97cba232549b_Buffer_Overflow/patches/knighter_patch.md,research/knighter/e2/cases/24_97cba232549b_Buffer_Overflow/csa/SAGenTestChecker.cpp
E2-extended,25,25_78ec6f9df664_Concurrency,78ec6f9df6642418411c534683da6133e0962ec7,Concurrency,valid_no_local_report,old:78ec6f9df6642418411c534683da6133e0962ec7:checker0,1,1,0,0,0,research/knighter/e2/cases/25_78ec6f9df664_Concurrency,research/knighter/e2/cases/25_78ec6f9df664_Concurrency/refinement_input.json,research/knighter/e2/cases/25_78ec6f9df664_Concurrency/patches/commit.patch,research/knighter/e2/cases/25_78ec6f9df664_Concurrency/patches/knighter_patch.md,research/knighter/e2/cases/25_78ec6f9df664_Concurrency/csa/SAGenTestChecker.cpp
E2-extended,26,26_8bc35475ef1a_Concurrency,8bc35475ef1a23b0e224f3242eb11c76cab0ea88,Concurrency,valid_no_local_report,old:8bc35475ef1a23b0e224f3242eb11c76cab0ea88:checker4,1,1,0,0,0,research/knighter/e2/cases/26_8bc35475ef1a_Concurrency,research/knighter/e2/cases/26_8bc35475ef1a_Concurrency/refinement_input.json,research/knighter/e2/cases/26_8bc35475ef1a_Concurrency/patches/commit.patch,research/knighter/e2/cases/26_8bc35475ef1a_Concurrency/patches/knighter_patch.md,research/knighter/e2/cases/26_8bc35475ef1a_Concurrency/csa/SAGenTestChecker.cpp
