sample_id,project,cwe_id,vulnerability_type,patch_path,vulnerable_path,fixed_path,evidence_path,preferred_analyzer,run_generate,run_refine,run_backend_compare,quality_status,reviewer,reviewed_at,selection_reason,quality_notes
vul4c_cwe369_libtiff_cve20177595,libtiff,CWE-369,divide by zero,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe369_libtiff_cve20177595/patches/fix.patch,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe369_libtiff_cve20177595/vulnerable,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe369_libtiff_cve20177595/fixed,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe369_libtiff_cve20177595/vulnerable,csa,true,true,true,approved,Codex,2026-04-22T12:31:55+08:00,经典除零保护案例，补丁直接体现guard,人工复审通过：补丁集中、漏洞机制可归因、漏洞/修复版本配对正确 | 候选精炼样本 | materialized_from=Vul4C; target_relpath=libtiff/tif_jpeg.c; cve=CVE-2017-7595
vul4c_cwe119_imagemagick_cve20169556,imagemagick,CWE-119,buffer overflow,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/patches/fix.patch,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/vulnerable,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/fixed,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/vulnerable,csa,true,true,true,approved,Codex,2026-04-22T12:31:55+08:00,单文件单hunk，边界约束补丁清晰,人工复审通过：补丁集中、漏洞机制可归因、漏洞/修复版本配对正确 | 候选主样本 | materialized_from=Vul4C; target_relpath=coders/sgi.c; cve=CVE-2016-9556
vul4c_cwe119_libming_cve20169827,libming,CWE-119,buffer overflow,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libming_cve20169827/patches/fix.patch,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libming_cve20169827/vulnerable,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libming_cve20169827/fixed,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libming_cve20169827/vulnerable,csa,true,false,false,approved,Codex,2026-04-22T12:31:55+08:00,字符串字段由 readBytes 改为 readString，修复后续字符串消费路径上的越界风险,人工复审通过：补丁集中、漏洞机制可归因、漏洞/修复版本配对正确 | 候选主样本 | materialized_from=Vul4C; target_relpath=util/parser.c; cve=CVE-2016-9827
vul4c_cwe119_libxml2_cve20125134,libxml2,CWE-119,buffer overflow,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libxml2_cve20125134/patches/fix.patch,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libxml2_cve20125134/vulnerable,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libxml2_cve20125134/fixed,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe119_libxml2_cve20125134/vulnerable,csa,false,false,false,approved,Codex,2026-04-22T12:31:55+08:00,补丁规模小，适合做生成评估,人工复审通过：补丁集中、漏洞机制可归因、漏洞/修复版本配对正确 | 候选主样本 | materialized_from=Vul4C; target_relpath=parser.c; cve=CVE-2012-5134
vul4c_cwe120_jhead_cve202028840,jhead,CWE-120,classic buffer overflow,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_jhead_cve202028840/patches/fix.patch,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_jhead_cve202028840/vulnerable,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_jhead_cve202028840/fixed,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_jhead_cve202028840/vulnerable,csa,true,true,true,approved,Codex,2026-04-22T12:31:55+08:00,经典缓冲区拷贝边界修复，语义直接,人工复审通过：补丁集中、漏洞机制可归因、漏洞/修复版本配对正确 | 待补第三个同类样本 | materialized_from=Vul4C; target_relpath=jpgfile.c; cve=CVE-2020-28840
vul4c_cwe120_gilcc_cve202021572,gilcc,CWE-120,classic buffer overflow,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_gilcc_cve202021572/patches/fix.patch,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_gilcc_cve202021572/vulnerable,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_gilcc_cve202021572/fixed,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe120_gilcc_cve202021572/vulnerable,csa,true,true,true,rejected,Codex,2026-04-22T12:31:55+08:00,人工复审淘汰：补丁实质是整文件替换与头文件切换，无法稳定归因到单一缓冲区溢出修复,人工复审淘汰：补丁实质是整文件替换与头文件切换，无法稳定归因到单一缓冲区溢出修复 | 待补第三个同类样本 | materialized_from=Vul4C; target_relpath=src/gilcc.c; cve=CVE-2020-21572
vul4c_cwe125_binutils_cve201715021,binutils,CWE-125,out-of-bounds read,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_binutils_cve201715021/patches/fix.patch,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_binutils_cve201715021/vulnerable,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_binutils_cve201715021/fixed,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_binutils_cve201715021/vulnerable,csa,true,false,false,approved,Codex,2026-04-22T12:31:55+08:00,越界读修复小且明确,人工复审通过：补丁集中、漏洞机制可归因、漏洞/修复版本配对正确 | 候选主样本 | materialized_from=Vul4C; target_relpath=bfd/opncls.c; cve=CVE-2017-15021
vul4c_cwe125_libdwarf_cve20169558,libdwarf,CWE-125,out-of-bounds read,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_libdwarf_cve20169558/patches/fix.patch,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_libdwarf_cve20169558/vulnerable,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_libdwarf_cve20169558/fixed,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe125_libdwarf_cve20169558/vulnerable,csa,true,true,true,rejected,Codex,2026-04-22T12:31:55+08:00,人工复审淘汰：补丁规模过大且接近文件重写，不适合构造成单漏洞单补丁实验样本,人工复审淘汰：补丁规模过大且接近文件重写，不适合构造成单漏洞单补丁实验样本 | 候选精炼样本 | materialized_from=Vul4C; target_relpath=libdwarf/dwarf_macro5.c; cve=CVE-2016-9558
vul4c_cwe190_binutils_cve201714745,binutils,CWE-190,integer overflow or wraparound,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe190_binutils_cve201714745/patches/fix.patch,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe190_binutils_cve201714745/vulnerable,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe190_binutils_cve201714745/fixed,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe190_binutils_cve201714745/vulnerable,codeql,true,true,true,approved,Codex,2026-04-22T12:31:55+08:00,整数边界补丁精简，适合后端对比,人工复审通过：补丁集中、漏洞机制可归因、漏洞/修复版本配对正确 | 候选精炼样本 | materialized_from=Vul4C; target_relpath=bfd/elf64-x86-64.c; cve=CVE-2017-14745
vul4c_cwe190_libarchive_cve20165844,libarchive,CWE-190,integer overflow or wraparound,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe190_libarchive_cve20165844/patches/fix.patch,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe190_libarchive_cve20165844/vulnerable,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe190_libarchive_cve20165844/fixed,/anonymous/home/LLM-Native/v2_experiments/datasets/curated/vul4c_cwe190_libarchive_cve20165844/vulnerable,codeql,false,false,false,approved,Codex,2026-04-22T12:31:55+08:00,整数运算溢出检查具有代表性,人工复审通过：补丁集中、漏洞机制可归因、漏洞/修复版本配对正确 | 候选精炼样本 | materialized_from=Vul4C; target_relpath=libarchive/archive_read_support_format_iso9660.c; cve=CVE-2016-5844
