sample_id,project,cwe_id,vulnerability_type,patch_path,vulnerable_path,fixed_path,evidence_path,preferred_analyzer,run_generate,run_refine,run_backend_compare,quality_status,reviewer,reviewed_at,selection_reason,quality_notes
vul4c_cwe369_libtiff_cve20177595,libtiff,CWE-369,divide by zero,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe369_libtiff_cve20177595/patches/fix.patch,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe369_libtiff_cve20177595/vulnerable,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe369_libtiff_cve20177595/fixed,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe369_libtiff_cve20177595/vulnerable,csa,true,true,true,approved,artifact-review,2026-04-22T12:31:55+08:00,Classic divide-by-zero guard case; the patch exposes the guard directly,"Manual review passed: patch is focused, vulnerability mechanism is attributable, and vulnerable/fixed versions are correctly paired | Candidate refinement sample | materialized_from=Vul4C; target_relpath=libtiff/tif_jpeg.c; cve=CVE-2017-7595"
vul4c_cwe119_imagemagick_cve20169556,imagemagick,CWE-119,buffer overflow,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/patches/fix.patch,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/vulnerable,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/fixed,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_imagemagick_cve20169556/vulnerable,csa,true,true,true,approved,artifact-review,2026-04-22T12:31:55+08:00,Single-file single-hunk patch with a clear boundary-constraint fix,"Manual review passed: patch is focused, vulnerability mechanism is attributable, and vulnerable/fixed versions are correctly paired | Candidate primary sample | materialized_from=Vul4C; target_relpath=coders/sgi.c; cve=CVE-2016-9556"
vul4c_cwe119_libming_cve20169827,libming,CWE-119,buffer overflow,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_libming_cve20169827/patches/fix.patch,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_libming_cve20169827/vulnerable,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_libming_cve20169827/fixed,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_libming_cve20169827/vulnerable,csa,true,false,false,approved,artifact-review,2026-04-22T12:31:55+08:00,Small single-file patch with concentrated bounds-check semantics,"Manual review passed: patch is focused, vulnerability mechanism is attributable, and vulnerable/fixed versions are correctly paired | Candidate primary sample | materialized_from=Vul4C; target_relpath=util/parser.c; cve=CVE-2016-9827"
vul4c_cwe119_libxml2_cve20125134,libxml2,CWE-119,buffer overflow,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_libxml2_cve20125134/patches/fix.patch,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_libxml2_cve20125134/vulnerable,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_libxml2_cve20125134/fixed,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe119_libxml2_cve20125134/vulnerable,csa,false,false,false,approved,artifact-review,2026-04-22T12:31:55+08:00,"Small patch, suitable for generation evaluation","Manual review passed: patch is focused, vulnerability mechanism is attributable, and vulnerable/fixed versions are correctly paired | Candidate primary sample | materialized_from=Vul4C; target_relpath=parser.c; cve=CVE-2012-5134"
vul4c_cwe120_jhead_cve202028840,jhead,CWE-120,classic buffer overflow,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe120_jhead_cve202028840/patches/fix.patch,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe120_jhead_cve202028840/vulnerable,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe120_jhead_cve202028840/fixed,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe120_jhead_cve202028840/vulnerable,csa,true,true,true,approved,artifact-review,2026-04-22T12:31:55+08:00,Classic buffer-copy boundary fix with direct semantics,"Manual review passed: patch is focused, vulnerability mechanism is attributable, and vulnerable/fixed versions are correctly paired | Need a third sample in this category | materialized_from=Vul4C; target_relpath=jpgfile.c; cve=CVE-2020-28840"
vul4c_cwe120_gilcc_cve202021572,gilcc,CWE-120,classic buffer overflow,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe120_gilcc_cve202021572/patches/fix.patch,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe120_gilcc_cve202021572/vulnerable,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe120_gilcc_cve202021572/fixed,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe120_gilcc_cve202021572/vulnerable,csa,true,true,true,rejected,artifact-review,2026-04-22T12:31:55+08:00,"Manual review rejected: the patch is effectively a whole-file replacement plus header switching, so it cannot be stably attributed to a single buffer-overflow fix","Manual review rejected: the patch is effectively a whole-file replacement plus header switching, so it cannot be stably attributed to a single buffer-overflow fix | Need a third sample in this category | materialized_from=Vul4C; target_relpath=src/gilcc.c; cve=CVE-2020-21572"
vul4c_cwe125_binutils_cve201715021,binutils,CWE-125,out-of-bounds read,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe125_binutils_cve201715021/patches/fix.patch,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe125_binutils_cve201715021/vulnerable,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe125_binutils_cve201715021/fixed,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe125_binutils_cve201715021/vulnerable,csa,true,false,false,approved,artifact-review,2026-04-22T12:31:55+08:00,Small and explicit out-of-bounds-read fix,"Manual review passed: patch is focused, vulnerability mechanism is attributable, and vulnerable/fixed versions are correctly paired | Candidate primary sample | materialized_from=Vul4C; target_relpath=bfd/opncls.c; cve=CVE-2017-15021"
vul4c_cwe125_libdwarf_cve20169558,libdwarf,CWE-125,out-of-bounds read,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe125_libdwarf_cve20169558/patches/fix.patch,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe125_libdwarf_cve20169558/vulnerable,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe125_libdwarf_cve20169558/fixed,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe125_libdwarf_cve20169558/vulnerable,csa,true,true,true,rejected,artifact-review,2026-04-22T12:31:55+08:00,"Manual review rejected: the patch is too large and close to a file rewrite, making it unsuitable as a single-vulnerability single-patch experimental sample","Manual review rejected: the patch is too large and close to a file rewrite, making it unsuitable as a single-vulnerability single-patch experimental sample | Candidate refinement sample | materialized_from=Vul4C; target_relpath=libdwarf/dwarf_macro5.c; cve=CVE-2016-9558"
vul4c_cwe190_binutils_cve201714745,binutils,CWE-190,integer overflow or wraparound,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe190_binutils_cve201714745/patches/fix.patch,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe190_binutils_cve201714745/vulnerable,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe190_binutils_cve201714745/fixed,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe190_binutils_cve201714745/vulnerable,codeql,true,true,true,approved,artifact-review,2026-04-22T12:31:55+08:00,"Compact integer-boundary patch, suitable for backend comparison","Manual review passed: patch is focused, vulnerability mechanism is attributable, and vulnerable/fixed versions are correctly paired | Candidate refinement sample | materialized_from=Vul4C; target_relpath=bfd/elf64-x86-64.c; cve=CVE-2017-14745"
vul4c_cwe190_libarchive_cve20165844,libarchive,CWE-190,integer overflow or wraparound,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe190_libarchive_cve20165844/patches/fix.patch,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe190_libarchive_cve20165844/vulnerable,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe190_libarchive_cve20165844/fixed,artifacts/experiments/cross_backend/datasets/curated/vul4c_cwe190_libarchive_cve20165844/vulnerable,codeql,false,false,false,approved,artifact-review,2026-04-22T12:31:55+08:00,Representative integer-overflow check,"Manual review passed: patch is focused, vulnerability mechanism is attributable, and vulnerable/fixed versions are correctly paired | Candidate refinement sample | materialized_from=Vul4C; target_relpath=libarchive/archive_read_support_format_iso9660.c; cve=CVE-2016-5844"
