sample_id,source_dataset,cve_id,project,cwe_id,vulnerability_type,benchmark_relpath,preferred_analyzer,run_generate,run_refine,run_backend_compare,selection_reason,quality_notes
vul4c_cwe119_imagemagick_cve20169556,vul4c,CVE-2016-9556,imagemagick,CWE-119,buffer overflow,imagemagick/CVE-2016-9556,csa,true,true,true,Single-file single-hunk patch with a clear boundary-constraint fix,Candidate primary sample
vul4c_cwe119_libming_cve20169827,vul4c,CVE-2016-9827,libming,CWE-119,buffer overflow,libming/CVE-2016-9827,csa,true,false,false,Small single-file patch with concentrated bounds-check semantics,Candidate primary sample
vul4c_cwe119_libxml2_cve20125134,vul4c,CVE-2012-5134,libxml2,CWE-119,buffer overflow,libxml2/CVE-2012-5134,csa,true,false,false,"Small patch, suitable for generation evaluation",Candidate primary sample
vul4c_cwe120_jhead_cve202028840,vul4c,CVE-2020-28840,jhead,CWE-120,classic buffer overflow,jhead/CVE-2020-28840,csa,true,true,true,Classic buffer-copy boundary fix with direct semantics,Need a third sample in this category
vul4c_cwe120_gilcc_cve202021572,vul4c,CVE-2020-21572,gilcc,CWE-120,classic buffer overflow,gilcc/CVE-2020-21572,csa,true,true,true,"Single-file boundary-check patch, suitable as an in-category comparison case",Need a third sample in this category
vul4c_cwe125_binutils_cve201715021,vul4c,CVE-2017-15021,binutils,CWE-125,out-of-bounds read,binutils/CVE-2017-15021,csa,true,false,false,Small and explicit out-of-bounds-read fix,Candidate primary sample
vul4c_cwe125_elfutils_cve20177607,vul4c,CVE-2017-7607,elfutils,CWE-125,out-of-bounds read,elfutils/CVE-2017-7607,csa,true,true,true,Simple and clear boundary-check patch for an out-of-bounds read,Candidate refinement sample
vul4c_cwe125_graphicsmagick_cve201712937,vul4c,CVE-2017-12937,graphicsmagick,CWE-125,out-of-bounds read,graphicsmagick/CVE-2017-12937,csa,true,false,false,Extremely small colormap-index validation patch with direct semantics,CWE-125 supplemental refinement sample
vul4c_cwe125_libdwarf_cve20169558,vul4c,CVE-2016-9558,libdwarf,CWE-125,out-of-bounds read,libdwarf/CVE-2016-9558,csa,true,true,true,"Single-hunk patch, convenient for analyzing the out-of-bounds-read mechanism",Candidate refinement sample
vul4c_cwe190_binutils_cve201714745,vul4c,CVE-2017-14745,binutils,CWE-190,integer overflow or wraparound,binutils/CVE-2017-14745,codeql,true,true,true,"Compact integer-boundary patch, suitable for backend comparison",Candidate refinement sample
vul4c_cwe190_libarchive_cve20165844,vul4c,CVE-2016-5844,libarchive,CWE-190,integer overflow or wraparound,libarchive/CVE-2016-5844,codeql,true,true,true,Representative integer-overflow check,Candidate refinement sample
vul4c_cwe190_jasper_cve20169387,vul4c,CVE-2016-9387,jasper,CWE-190,integer overflow or wraparound,jasper/CVE-2016-9387,codeql,true,false,false,"Multi-line patch, but the mechanism is concentrated in integer-range control",Candidate primary sample
vul4c_cwe369_binutils_cve201715025,vul4c,CVE-2017-15025,binutils,CWE-369,divide by zero,binutils/CVE-2017-15025,csa,true,false,false,Small divide-by-zero guard patch with a clear trigger condition,Candidate primary sample
vul4c_cwe369_libming_cve20169265,vul4c,CVE-2016-9265,libming,CWE-369,divide by zero,libming/CVE-2016-9265,csa,true,true,true,"The fix is completed through an explicit denominator check, with clear semantics",Candidate refinement sample
vul4c_cwe369_libtiff_cve20177595,vul4c,CVE-2017-7595,libtiff,CWE-369,divide by zero,libtiff/CVE-2017-7595,csa,true,true,true,Classic divide-by-zero guard case; the patch exposes the guard directly,Candidate refinement sample
vul4c_cwe416_imagemagick_cve201712877,vul4c,CVE-2017-12877,imagemagick,CWE-416,use after free,imagemagick/CVE-2017-12877,csa,true,true,true,"UAF fix expressed as a local state constraint, suitable for evidence collection",Candidate refinement sample
vul4c_cwe416_graphicsmagick_cve201714103,vul4c,CVE-2017-14103,graphicsmagick,CWE-416,use after free,graphicsmagick/CVE-2017-14103,csa,true,false,false,"Clear error-path resource-release ordering fix, suitable as a supplemental UAF sample",Candidate supplemental sample
vul4c_cwe416_libming_cve20188964,vul4c,CVE-2018-8964,libming,CWE-416,use after free,libming/CVE-2018-8964,csa,true,true,true,"The UAF fix logic is directly tied to post-release constraints, making it suitable for refinement",Candidate refinement sample
vul4c_cwe416_libming_cve20188806,vul4c,CVE-2018-8806,libming,CWE-416,use after free,libming/CVE-2018-8806,csa,true,false,false,Real UAF case; patch semantics are concentrated on post-release constraints,Candidate primary sample
vul4c_cwe415_libzip_cve201712858,vul4c,CVE-2017-12858,libzip,CWE-415,double free,libzip/CVE-2017-12858,csa,true,true,true,Real-world double-free samples are scarce; this one should be retained,Need two more samples in this category
vul4c_cwe476_libming_cve20169828,vul4c,CVE-2016-9828,libming,CWE-476,NULL pointer dereference,libming/CVE-2016-9828,csa,true,false,false,"Very small NULL-dereference fix, useful for baseline evaluation",Candidate primary sample
vul4c_cwe476_binutils_cve201714940,vul4c,CVE-2017-14940,binutils,CWE-476,NULL pointer dereference,binutils/CVE-2017-14940,csa,true,true,true,"Direct NULL-check strengthening patch, suitable for refinement",Candidate refinement sample
vul4c_cwe476_jasper_cve201610248,vul4c,CVE-2016-10248,jasper,CWE-476,NULL pointer dereference,jasper/CVE-2016-10248,csa,true,false,false,Clear NULL-path patch,Candidate primary sample
